"publishDate","publishTime","platform","campaign","topic","objective","assetSpec","successSignal","landingPage","guardrail"
"2026-06-18","09:30","Naver Blog","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","Anchor search demand and create the source article for repurposing.","Blog cover plus checklist/table images","Search impressions, checklist clicks, inquiry clicks","https://grantlabs.co.kr/checklist.html","Do not guarantee approval, selection, or funding amount. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Keep personal data collection directed to the official consultation form or direct contact."
"2026-06-18","11:20","LinkedIn Page","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","Translate the blog into an executive insight for B2B credibility.","Text post or PDF-style document carousel","Profile visits, saves, qualified comments","https://grantlabs.co.kr/checklist.html","Do not guarantee approval, selection, or funding amount. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Keep personal data collection directed to the official consultation form or direct contact."
"2026-06-18","18:40","Instagram Carousel","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","Create a saveable checklist from the anchor article.","1080x1080 carousel, 7-9 slides","Saves, shares, profile taps","https://grantlabs.co.kr/checklist.html","Do not guarantee approval, selection, or funding amount. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Keep personal data collection directed to the official consultation form or direct contact."
"2026-06-19","09:30","Naver Blog","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","Anchor search demand and create the source article for repurposing.","Blog cover plus checklist/table images","Search impressions, checklist clicks, inquiry clicks","https://grantlabs.co.kr/checklist.html","Do not guarantee R&D-center approval, certification, or funding. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Do not recommend paper-only setup without real operational evidence."
"2026-06-19","11:20","LinkedIn Page","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","Translate the blog into an executive insight for B2B credibility.","Text post or PDF-style document carousel","Profile visits, saves, qualified comments","https://grantlabs.co.kr/checklist.html","Do not guarantee R&D-center approval, certification, or funding. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Do not recommend paper-only setup without real operational evidence."
"2026-06-19","12:10","Instagram Reels","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","Turn one checklist gap into a short authority signal.","9:16 vertical video, captions, first-frame hook","Average watch time, replays, profile taps","https://grantlabs.co.kr/checklist.html","Do not guarantee approval, selection, or funding amount. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Keep personal data collection directed to the official consultation form or direct contact."
"2026-06-19","18:20","YouTube Shorts","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","Test a searchable question in short-form video.","9:16 vertical video, spoken answer, pinned checklist comment","Retention, search discovery, checklist clicks","https://grantlabs.co.kr/checklist.html","Do not guarantee approval, selection, or funding amount. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Keep personal data collection directed to the official consultation form or direct contact."
"2026-06-19","18:40","Instagram Carousel","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","Create a saveable checklist from the anchor article.","1080x1080 carousel, 7-9 slides","Saves, shares, profile taps","https://grantlabs.co.kr/checklist.html","Do not guarantee R&D-center approval, certification, or funding. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Do not recommend paper-only setup without real operational evidence."
"2026-06-20","09:30","Naver Blog","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","Anchor search demand and create the source article for repurposing.","Blog cover plus checklist/table images","Search impressions, checklist clicks, inquiry clicks","https://grantlabs.co.kr/checklist.html","Do not guarantee certification, patent registration, or funding approval. / Avoid implying government affiliation or official agency status. / Use readiness, sequence, and diagnostic language instead of guaranteed-result language. / Do not advise filing patent or certification work without reviewing actual business evidence."
"2026-06-20","11:20","LinkedIn Page","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","Translate the blog into an executive insight for B2B credibility.","Text post or PDF-style document carousel","Profile visits, saves, qualified comments","https://grantlabs.co.kr/checklist.html","Do not guarantee certification, patent registration, or funding approval. / Avoid implying government affiliation or official agency status. / Use readiness, sequence, and diagnostic language instead of guaranteed-result language. / Do not advise filing patent or certification work without reviewing actual business evidence."
"2026-06-20","12:10","Instagram Reels","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","Turn one checklist gap into a short authority signal.","9:16 vertical video, captions, first-frame hook","Average watch time, replays, profile taps","https://grantlabs.co.kr/checklist.html","Do not guarantee R&D-center approval, certification, or funding. / Avoid implying government affiliation. / Use diagnostic and preparation language instead of guaranteed-result language. / Do not recommend paper-only setup without real operational evidence."
